clustering_company_id,hierarchy,salary,age,expected_leave_days,clustering_yearly_abscence_cost,position,Cluster,PCA1,PCA2
1,3,5971,52,18.0,4960.52,5,2,-3.7503839418109575,-0.6254526094468262
5,3,5553,40,5.9,1512.12,4,2,-2.3344713526763288,-2.217626407461057
6,6,2549,50,34.0,3999.97,11,3,-0.5890135987263054,1.8427846404448296
1,6,3333,45,26.6,4091.9,13,3,-0.7370379387502033,1.2664951677755667
5,7,1951,25,21.5,1935.99,12,0,1.0587361757986702,0.26612663742152565
5,6,3431,50,7.5,1187.65,13,0,0.4234003550564092,0.04363590869497578
6,7,1896,39,7.8,682.56,11,0,1.2865119444140742,-0.19661866806788442
6,6,2487,32,7.8,895.32,11,0,0.8563100150648978,-0.7372377774747704
2,5,3710,62,13.0,2226.0,7,2,-1.6283196317967104,0.08441858644545806
4,7,1971,47,16.4,1491.9,14,0,1.044661639641889,0.9720901025854451
4,3,4600,28,2.1,445.85,5,2,-1.5326429101636523,-2.8175316207012626
6,6,2406,25,3.4,377.56,14,0,1.6103848761159376,-1.0193268857824327
5,6,2454,65,20.2,2287.88,12,3,-0.17663281467949266,1.5357392372545642
7,6,2496,33,7.8,898.56,12,0,1.063950080259143,-0.5879681198320807
5,4,3905,45,5.9,1063.36,10,2,-0.6891684666498267,-1.0390725910963323
6,7,1806,25,3.4,283.4,12,0,1.8640110039357907,-0.9364292890293124
7,6,2389,25,3.4,374.89,14,0,1.7032870212592124,-1.0056198022698037
3,6,2445,25,2.0,225.69,13,0,1.2525087757468092,-1.2574860874753628
5,6,2863,52,7.5,991.04,13,0,0.5809686086004408,0.17912171261393603
6,7,1914,63,40.8,3604.21,13,3,-0.08013322756122883,3.185350628571189
1,4,4246,31,17.7,3468.66,6,2,-2.1319430947452127,-1.10744258911236
5,4,3813,43,5.9,1038.31,9,2,-0.7644675406692121,-1.2070080516210329
2,7,2060,31,15.0,1426.15,11,0,0.7466822001534135,-0.07972413981347695
1,5,3190,64,40.2,5918.68,10,3,-2.42249726656264,2.5352526434644855
5,4,3734,56,12.5,2154.23,6,2,-1.734734590422933,-0.4641563957513203
5,6,3020,48,5.9,822.37,11,0,0.3908244698074262,-0.31154468871142754
5,4,4176,43,5.9,1137.16,6,2,-1.3050210748035975,-1.544007541103303
6,6,3404,43,5.0,785.54,12,0,0.6268024524046597,-0.5089060209576669
1,7,1935,25,8.5,759.12,11,0,1.0563365117438035,-0.7628511925395538
5,5,3038,32,20.5,2874.42,7,2,-0.9224700166913219,-0.45968588059989496
5,7,1936,31,20.5,1831.75,14,0,1.2779195625111965,0.633210330560537
7,2,10534,42,5.0,2430.92,1,1,-4.495578602579207,-3.270544425825489
4,7,1946,30,8.0,718.52,11,0,1.245764886213161,-0.5659636251788749
6,4,3527,28,3.4,553.47,6,2,-0.614215263866426,-2.2465147134896637
1,7,1838,55,11.7,992.52,14,0,0.8654796112567491,0.9421666481828191
6,6,2623,64,40.8,4939.31,11,3,-1.1694057857586924,2.8890100244314336
4,7,2265,25,2.1,219.53,13,0,1.7408870988839025,-1.0083328226788084
6,5,3859,36,7.8,1389.24,7,2,-0.5985555774998014,-1.3171064857693395
5,7,2303,25,21.5,2285.28,12,0,0.8979286964359823,0.2602360798965397
6,7,2259,62,40.8,4253.87,14,3,-0.13506452476205294,3.278729062824922
6,7,2287,25,3.4,358.88,14,0,1.9985164850308494,-0.7978244549559871
7,7,2285,25,3.4,358.57,11,0,1.6647352931102128,-1.083344610109984
5,6,2682,29,21.5,2661.37,12,0,0.3022348861313762,0.2048614962433704
7,6,2772,56,32.2,4119.62,14,3,-0.23122284440998037,2.269821540518308
5,5,3950,47,5.9,1075.62,10,2,-0.38744622211140195,-0.7583793203807474
7,2,9069,61,40.8,17077.62,1,1,-7.828510880087475,1.5934691871741486
6,6,2599,42,5.0,599.77,14,0,1.1825143685111414,-0.2579077087902031
6,6,2614,38,7.8,941.04,14,0,1.1288077206848237,-0.21573304467372093
5,6,3133,25,21.5,3108.9,13,0,0.3076621803367684,0.13872235122130552
5,7,2140,46,5.9,582.74,14,0,1.4872508863115257,0.20979090835823702
6,7,2075,25,3.4,325.62,11,0,1.64115771353808,-1.0689051056868064
6,7,1869,51,34.0,2932.89,14,3,0.5489582963792615,2.3473377257521926
5,6,2976,47,5.9,810.39,12,0,0.5635728781969893,-0.2470466582175693
1,6,2422,28,8.5,950.17,13,0,0.7633691271200287,-0.698734513094599
5,6,3381,25,21.5,3354.99,14,0,0.33506655349623743,0.23369480986716876
1,5,3552,25,8.5,1393.48,6,2,-0.9135682406249902,-1.8235883003669529
7,7,2014,27,3.4,316.04,13,0,1.9935181832710576,-0.7726401717030518
6,7,2233,51,34.0,3504.09,14,3,0.3445979263295063,2.3682096113971216
6,6,2642,25,3.4,414.59,11,0,1.1162108821962715,-1.3459578413485065
5,7,2181,48,5.9,593.9,11,0,1.0163906587137193,-0.013196691134695899
7,6,2415,25,3.4,378.97,13,0,1.5546463025063806,-1.1079663296277882
2,6,2491,25,25.2,2897.22,11,0,-0.0979259516966638,0.18013361968945318
5,7,1943,64,20.2,1811.47,12,3,0.420733460229264,1.715545997921612
5,5,3960,63,20.2,3691.94,10,3,-1.4460628079677167,1.0150861913599287
3,5,4054,25,2.0,374.22,9,2,-0.1346166444360058,-2.073577436155
2,6,2767,30,15.0,1915.62,12,0,0.26874793300753436,-0.2658404259107052
5,6,2945,59,12.5,1699.04,11,3,-0.07969511730264438,0.618522602571558
6,7,2366,28,3.4,371.28,14,0,1.9213182756306817,-0.6893333541464185
7,1,9143,63,40.8,17216.97,1,1,-8.261436738484125,1.4728039592833004
6,7,2179,53,34.0,3419.35,12,3,0.05813362384106085,2.245725042180017
1,5,3773,56,11.7,2037.42,6,2,-1.7067120106142677,-0.3696354473624784
5,5,3447,42,5.9,938.64,6,2,-0.6976582215601818,-1.2970983436463825
6,7,2160,59,32.2,3210.09,14,3,0.3141625557637297,2.554691462577945
5,7,1972,64,20.2,1838.51,13,3,0.5485003930127054,1.813960420186315
1,7,2259,29,8.5,886.22,14,0,1.2949032841157462,-0.3381508911328187
6,7,2031,31,7.8,731.16,11,0,1.3818371358639907,-0.525267433899271
6,7,2097,39,7.8,754.92,12,0,1.3584279399196502,-0.11717764450587523
5,7,2175,25,21.5,2158.27,13,0,1.0971037476388714,0.3615013961452595
1,5,4179,32,17.7,3413.92,8,2,-1.4879651365918343,-0.6603912781006375
4,7,1844,45,16.4,1395.77,14,0,1.132642078355109,0.8991959734629924
5,7,2042,60,20.2,1903.77,14,3,0.7287455100238434,1.7536574558065137
5,6,2507,48,5.9,682.68,12,0,0.6989230696154614,-0.1564131174043514
6,5,3297,25,3.4,517.38,10,0,0.42368684075457974,-1.7330432820276855
1,7,1805,56,11.7,974.7,14,0,0.8601589644708991,0.9840640189773271
6,6,2800,41,5.0,646.15,13,0,0.995429819477446,-0.41947652610812847
7,6,2654,64,40.8,4997.69,12,3,-0.9601643015393664,3.0027595644341076
6,6,3425,41,5.0,790.38,12,0,0.6554900440213823,-0.5901689815380885
5,6,2403,32,20.5,2273.61,12,0,0.4176016099660476,0.2570643051476339
7,6,2551,31,7.8,918.36,12,0,1.0805093920784576,-0.6722110867789375
7,4,3983,63,40.8,7500.3,10,3,-2.749206861784698,2.4813484683035627
5,1,10473,44,5.9,2851.88,4,1,-4.714273938189205,-3.0105631424987638
5,7,1907,57,12.5,1100.19,12,0,0.8442102748754546,0.9182650078846932
6,7,2016,43,5.0,465.23,14,0,1.7024631734557425,0.05502903842579938
1,6,2666,54,18.0,2214.83,11,3,-0.4731259193035493,0.79223856760841
3,7,2333,37,7.8,839.88,13,0,1.1906174743632134,-0.15481971201334344
6,7,2374,25,3.4,372.54,11,0,1.5498443721370088,-1.1059789855595092
5,4,3781,50,7.5,1308.81,8,2,-1.1025750303924544,-0.9003668074995209
6,6,2506,28,3.4,393.25,13,0,1.3860739030798488,-1.0125630391422065
6,7,2203,25,3.4,345.7,14,0,2.0241694525406095,-0.7874088530462554
6,7,2259,54,34.0,3544.89,11,3,-0.14517191168025928,2.190618470801718
5,7,2134,30,20.5,2019.09,12,0,0.9254111354027897,0.3910497846998892
5,7,2285,61,20.2,2130.32,14,3,0.602686090236453,1.7871477847575095
6,2,11737,44,5.0,2708.54,5,1,-4.439364811630077,-2.9445523089250343
6,7,1857,44,5.0,428.54,14,0,1.7354588191420657,0.1126653675901923
6,7,2278,31,7.8,820.08,13,0,1.5787118486017562,-0.3512079655612975
1,7,1813,30,17.7,1481.08,14,0,1.100852966601435,0.36185440927148743
5,6,3180,63,20.2,2964.74,11,3,-0.6057225603220414,1.3400181375025848
7,7,1887,62,40.8,3553.37,14,3,0.1826619042127416,3.254008331660718
6,7,2364,43,5.0,545.54,11,0,1.16942492431008,-0.28218877873554793
3,6,3241,56,0.1,14.96,13,0,0.561516890014104,-0.2843621301641068
6,7,2255,29,3.4,353.86,14,0,1.9375270259182509,-0.6361416235543326
